Klemencja;Ambro¿owicz
Delfina;Podrou¿ek
Gerarda;Gorsz
Halka;Pisana
Lubomira;Rezlar
Bibianna;Dust
Ludomira;£ogodziñski
Karola;Kawe³czyk
Ewa;Fischel
Daniela;Pytelkowski
Roma;Oszewionko
Modesta;Semegin
Mi³os³awa;Wrani
Domas³awa;Wennyk
Stella;Ebin
Kosma;Bl¹dowski
Beda;Szrubianiec
Eligia;Szur³at
Isaura;Gwi¿dak
Miriam;Nyziak
Magdalena;Bl¹dek
Sebastiana;Partyczna
Kamilla;Przeczlakiewicz
Radomi³a;Biro
Jarmi³a;Rzekiêæ
Les³awa;Slisiñski
Eudoksja;Pierso
Anastazja;Dubiaga
Ada;Borkum
Ludomi³a;Dyrszczko
Magda;Juryk
Eliga;Felczyszyn
Kinga;Potrepko
Leopoldyna;Sztupaj
Bolis³awa;Taba³a
Sebastiana;Borzêdzki
Leonarda;Loken
Dzier¿ys³awa;Grodeñ
Gilda;Szydloch
Izabella;Lorsy
Domas³awa;D¹boszek
Bernadeta;Delor
Alicja;Gutt-Mostowy
Edda;Czausów
Witolda;Piserska
Isaura;Grembecki
Dalida;Lekañ
Eufemia;Czubaszyk
Dzier¿ys³awa;Szarmer
Cezaryna;Robke
Lechos³awa;Helfer
Eufemia;D¿umakas
Danuta;£agucik
Marika;Fajczyk
Ewa;Koprucha
Zbigniewa;Sobotowski
Ludwika;Cierczyñski
Melania;Jêdryjaszek
Dobrawa;Kierdaj
Weronika;Kuzmiuk
Swet³ana;Rekawiecka
Hortensja;Bubiñ
Lubomira;Oszowski
Stronis³awa;Sewed
Serafina;Bierfrend
Wac³awa;Go³¹zowska
Lucjola;Bublinowicz
Bogna;Pigocki
Maryna;MiedŸwiedziew
Mira;Gruby
Alberta;Daszba
Klaudia;Mandrella
Ilza;Brzechala
Marta;Frêsiak
Gryzelda;Czenecka
Tacjanna;Kejla
Debora;Pulkowny
Bêdzis³awa;G¹cik
Oksana;Kalempka
Dezyderia;Dyndura
Gawry³a;Kuzmik
Dagmara;Freites
Toska;Skworszczew
Cezaryna;Holla
Miros³awa;Wajgiert
Borzys³awa;Œlipek
Felicja;Szywarska
Larysa;Ponklak
Kamilla;Bakanów
Januaria;£apcik
Roœcis³awa;¯iñ
Gabriela;Totarewicz
Paloma;Hotkiewicz
Bogna;Jachnel
Rozanna;Mentelis
Witolda;Leszczo³owska
Adelina;Filipo
Rozanna;Ziombko
Romualda;Kowrygin
Marzena;Bodara
Ernesta;Nienajed³o
Leopolda;Saredzka
W³odzis³awa;Ró¿nawski
Lubomira;Mokroñski
Eliza;Kurzejczyk
Nina;Nier
Swiet³ana;Tomecek
Telis³awa;Urodow
Lea;Tragier
Wiola;Jarmitowska
Kamilla;Mierzwicki
Helena;Pa³uta
Ulryka;Chwedczenia
Sara;Gierasimowicz
Oriana;Salka
Miranda;Kosowiak
Brygida;Baiñski
Amadea;Orwid-Pluta
Brygida;Diop
Rita;Detlef
Kallina;Noehring
W³oœcis³awa;Dachów
Beda;Snierzyñski
Edwarda;Wincko
Dina;Równik
Aleksandra;Siersiecki
Boguchwa³a;W¹cho³a
Dobrochna;Pa³andziuch
Danuta;Noro¿niak
Euzebia;Bonlange
Lamberta;Piepryk
Perpetua;Londzin
Kesja;Morysoñ
Kira;Balonek
Zelmira;Damszel
Klotylda;£obañ
Taida;Ska³êcka
Romana;Zyzman
Izabela;Wantusiak
Paulina;Dzienuæ
Orchidea;Bartoszko
Stefania;Ru¿y³
Hermenia;Kodalska
Waleriana;Bozyñski
Kinga;Rebbisz
W³oœcis³awa;Suidak
Leopoldyna;Go³gis
Radzis³awa;Ochorek
Marika;Ko³odnicki
Waleriana;Ziemann
Marzena;Górzejko
Kallina;Wachelko
Diana;Dow¿uk
Helena;Antke
Potencjana;Balwar
Jarmi³a;G³adyszczak
Teresa;Sawiñski
Felicjana;Tobiasiewicz
Margot;Romaniecki
Paula;Olikowski
Tamara;Jorko
Arletta;Staniberg
Józefa;Œwi¹tecki
Materna;Andryckowicz
Heloiza;Chi³owska
Wirginia;Klosok
Dobis³awa;Mendelawska
Dobroniega;Darafiej
Gra¿yna;S³ygares
Adamina;Druse
Bryda;Celmin
Krystyna;Zacharbeñska
Areta;Mochy
Bo¿ena;Naumyk
Luiza;Miechcia³
Natasza;Rutowski
Marzanna;Szerszyn
Adela;Omietoñski
Mironiega;Szalugowski
Wszebora;Skryplonek
Wincenta;Nojtal
Gardenia;Startek
Erazma;Szener
Wilhelmina;Buturlak
Joachima;Forkajm
Michalina;Szeterlach
Zbigniewa;Sosnierz
Dawida;Sudan
Erwina;Iljaszczuk
Otylia;Peryhasza
Marina;Jerzêcki
Adela;Zakoñczyk
Berna;Vorlauf
Euzebia;Kurfirst
Ciechos³awa;Sajger
Rados³awa;Dowhyluk
Geraldyna;Bodia
Andromeda;Bonkiewicz
¯alina;Krzywda-Pogorzelski
Margot;Chach
Regina;Kurzy³ek
Gustawa;Mineyko
Madlena;Ko¿añczuk
Sulimiera;Kryszliñski
Wrzes³awa;Pami¹czyk
Dobros³awa;Krzyzieñska
Marcelina;Glanner
Anna;Giercha
Klaudyna;Pischnik
Juda;Mitrut
Zofia;Petu³a
Œcibora;Boguszczak
Erazma;Szakura
Renata;Kielbik
Janina;Jachyla
Georgina;Zeinedoling
Ludomira;Blass
Telimena;Piêton
Czcibora;Spychañska
Cezara;Abramson
Beda;Ciernioch
Ofelia;Bodeusz
Michalina;Scêcelek
Odila;Powitañski
Zora;Ciechacki
Toma;Po³oñ
Zawisza;Skurecki
Ilia;Duklicz
Teodora;Irrera
Izolda;Ocipiñski
Jadwiga;Ocieska
Ruta;Leszkis
Arletta;Kaziukaniec
Felicjana;Naduzia
Nina;Wo³szyn
Erwina;¯o³cik
Zenona;Bi³aga
Angelina;Ro¿akowski
Patrycja;Wydo³owski
Neomi³a;Matewicz
Roberta;Kaszakiewicz
Gilda;Klassek
Agrypina;Holica
Raissa;Fejgels
Lukrecja;Œmieskol
Lea;Bejte
Ksawera;Wozowczyk
Violetta;£yga
Antonina;Heimburger
Alma;Mordaszewski
Celina;Porzucak
Œcibora;Kondarewicz
Bryda;Czekalski
Ernestyna;Bundy
Zenobia;Odbie¿ychleb
Izabella;Draber
Ditta;Packiewicz
Ludmi³a;Wojszat
Domas³awa;Kant
Bryda;Wrona de Korczak
Fabiola;Reymer
Wyszes³awa;DŸwikowski
Beata;Parnicki
Tomis³awa;Mechlich
Iwetta;Wachêcka
Domis³awa;Mamijak
Jagna;¯uraniecki
Krzysztofa;Sumianka
Bogus³awa;Krischik
Bohdana;Hulawicz
Kaliksta;Cytar
Mirabella;Graczyk
Wera;Dymierska
Blanka;Pszewiczna
Albertyna;Wisnyk
Izolda;Suskowiak
Mindora;Blacik
Prakseda;Baburczak
Rena;Selmej
Maryna;Soluch
W³adys³awa;Szymczy
Madlena;Dalenkiewicz
Ofelia;Worliszek
Narcyza;Rawlik
Georgia;¯o³êdkiewicz
Zula;Zuter
Amalia;Brzêœkiewicz
Aga;Ja¿emski
Ingeborga;Nieter
Kinga;Calka
Bernardeta;Gawaluch
Jewdocha;Piecholiñska
Kwiatos³awa;Jaroniewski
Laura;Reduto
Berenike;Kruminsz
Linda;Pakciñski
S³awa;Rudenko
Huberta;Harber
Ingeborga;Tonewska
Weronika;Poza¿ycki
Alfreda;Wielika
Ernesta;B¹kowiak
Sofia;Niczyporenko
Telimena;Kowalicki
Radzis³awa;Adakimowicz
Nimfa;£yskoœ
Beatrycze;Lisowienko
Gerarda;Pacaków
Marzanna;Gustyl
£ucja;G³owakiewicz
Barbara;Gobarciak
Chwalis³awa;Szuringer
Rufina;Ze³obowska
Maryna;Stulc
Laza;Kozielecki
Krystyna;Schwart
Ganda;Zubrzyc
Kinga;Grundzka
Gra¿yna;Brokmajer
Teodozja;Maciuszowicz
Flawia;Tyæ
Jowita;Buballik
Rozanna;Jendrak
Izabella;Falanczyk
Huberta;Kocimowski
Fabiola;Hodyniecka
Inga;Oniskiewicz
Stanis³awa;Gontow
Aspazja;Cysarczyk
Ksawera;Korn
Toma;Kramarek
Strze¿ys³awa;Szurleta
Kalina;Chochenza
Dawida;Markieta
Gizela;Gostanian
Marina;Bromberger
Arleta;Hild
Klara;Korozow
Pia;Œwierbotowicz
Konrada;Pobisiak
Alojza;Selin
Selma;Narusiewicz
Jaros³awa;Tolwejsz
Jarmi³a;Pattek
Alfreda;Stefinów
Ró¿a;Nagira
Bogumi³a;Kapura
Klemencja;Gejec
Mirabella;Bate
Tamara;Chraziak
Siecies³awa;Klejnons
Pryscylla;P³otkowiak
Wszemi³a;Koturbarz
Boguwola;Choja
Fabia;Szwêda
Iwona;Nadulicz
Orchidea;Kasprzyszyn
Leona;Ibsch
Maura;Rubersz
Herminia;Hordzin
Rufina;Peaœ
Eunika;Katzler
Pamela;£oniœ
Delfina;D³aczaszek
Malina;Krewionek
Georgia;Peryc
Godzis³awa;Polaszke
Idalia;Korczak
Amelia;So³tan
Dianna;G³ochowski
Dobis³awa;Mo³owicz
Jewdocha;Mamdycz
Marcela;Skrzeñski
Eunika;Studnikowicz
Oda;Sodies
Patrycja;Œwiatnicki
Pelagia;Rozwera
Honoryna;Krotoszczak
Begina;Klejps
Boguwola;Drêska
Filomena;Wojdyñski
Inga;Kutjan
Aleksandra;Chorob
Wilma;Kulpo
Filomena;£onocha
Sydonia;Mietió³ka
Amanda;Przewie¿lik
Eleonora;Wejtman
Wiera;Handkus
Klementyna;Rartosz
Gilda;Nikipañczuk
D¹brówka;Trak
Tacjana;W³odyga
Zbys³awa;Francesson
Kasjana;Ibrañ
Carmen;Sawleñ
Idalia;Wawrocik
Ilona;Chybiñski
¯alina;Niewiczera
Cecylia;Potudin
Zuzanna;Kinalski
Teresa;Szwajcewska
Georgia;Blin
Tolis³awa;Rudec
Monika;K¹plewicz
Dianna;Stange
Oliwia;Cymka
Cezara;¯elazow
Gardenia;Ferdynandzki
Pola;Kuœnierkiewicz
Eunika;Matusiek
Rados³awa;Barbadziñska
Orchidea;Doszczontek
Iga;Castaner
Anatolia;Bój
Wiêcemi³a;Kirchubel
Wiola;Bleja
Dobroniega;Gondziarska
Paula;Gowien
Balbina;£awrówianiec
Sebastiana;Pawus
Tekla;Kimas
Radomi³a;Krystasiak
Taida;Burawkin
Lamberta;Orszagh
Serafina;Pogañski
Wiktoryna;Szewczuñ
Adolfa;Ganzek
Aldona;Lackmayer
Berenika;Kulpieñski
Leona;Annus
Wiktoria;Gajkos
Emanuela;Arymowicz
Lilla;Niekurzy
Feliksa;Gardecki
Mindora;Pojdak
Antonina;Mataram
Joanna;Gajoszek
Julita;Ty¿bierek
Otylia;Regielewicz
Irena;Sendlewski
Gryzelda;Nossig
Oswalda;Pszczo³ka
Scholastyka;Ordakowski
Pudecjanna;Duczakiewicz
Eligia;Koraczun
Mechtylda;Kakiz
Zbys³awa;Ciask
Kamelia;Kaguniak
Dobrocha;Hal¹gowski
Leona;Jarosiewicz
Sonia;Portnik
Kalina;Ornoch
Marina;Ponelajd
Fabia;Wasileñko
Domos³awa;Twañska
Feliksa;Wildt
Ilona;Zglenigra
Zawisza;Burkert
Budzis³awa;P³óciennikowski
Glikeria;Piêkos
Otylia;Czyterbok
Zefiryna;Sarbielewska
Gra¿yna;Mister
Inez;Lalecki
Petronia;Kinajtis
Cezaryna;Obermuller
Paulina;Bryñczak
Eudokia;Ilnicki
Ita;Seneld
Ludmi³a;Dahman
Ariela;Arankowska
Boguwola;Wnók
Ingrid;Ró¿d¿ka
Loretta;Domdek
Eugenia;Syk³owski
Ifigenia;Bornkiewicz
Hilaria;Hruœcian
Dawida;Herder
Gracjana;Kociuga
Berta;Stranik
Wilhelmina;Prydun
Diana;Romanas
Irina;Tentyszyn
Euzebia;Szaforowicz
Irena;Szfrañski
Gardenia;Repetnik
Alicja;Centaus
Mirabella;Anuth
Jarema;Balerek
Anna;Daptu³a Przetak
Fausta;Mix
Karolina;Cheæko
Laza;Biesiorska
Alicja;Bia³okosiewicz
Dina;Bigielis
Ludomi³a;Powojowski
Klaudyna;Konowodów
Bryda;Hannewald
Fortunata;Krasota
Sobies³awa;Czemistow
Bogus³awa;Nuran
Marita;Projo
Wies³awa;Spóziak
Józefa;Gnoyke
Dobromi³a;Braitszedel
Kasjana;Trybun
Stefania;Haszowski
Dezyderia;Leboszka
Gertruda;Przyczkowski
Kesja;Matala
Lubomi³a;Kaczaluk
Mœcis³awa;Maszuta
Domis³awa;Szarlik
Leonia;Zêtek
Bartolomea;Klimiuk
Jarema;Godzewski
Ksenia;Szwed
£ucja;Zuper
Ignacja;Lissewski
Prakseda;Krysstek
Pryska;Pychal
Serafina;Mozalew
Fortunata;Mudlaw
Stronis³awa;Zmojska
Alma;Antosiewski
Natasza;Hollej
Przemys³awa;Maksymiw
Stanis³awa;Bohonus
Lilla;Nasiñski
Bohdana;Dolozy
Urszula;Dopka
Wiktoryna;Ho³añ
Lolita;Aromin
Oda;Dubrowko
Olga;Mirolewicz
Jagna;Juryczkowski
Amalia;Steckman
Adrianna;Michnowski
Dagna;Mieldzioc
Ludgarda;Rozbieski
Adrianna;Licback
Fryderyka;Tampór
Œwiêtochna;Piêkniewski
Œwiêtomira;Fedczyniak
Malina;Biomor
Loda;Wiederhöft
Helena;Kowankowski
Bryda;Dreliak
Ksymena;Maceus
Rozyna;Dziêdzie³owska
Agata;Boczkola
Kleopatra;Fonger
Justyna;Pocz
Leontyna;Przeœlakiewicz
Eliga;Sachniak
Przemys³awa;Mordal
Gilda;Suwka
Dobromi³a;Borcun
Salome;Cydkowska
Oksana;Panszczyk
Rufina;Gêdzio³
Adelina;Funde
Edyta;Pawleczko
Przybys³awa;Sebulke
Jeros³awa;Purchacka
Klaudia;Podgórni
Iwa;Rokuszewski
Emerencja;Kwieciñ
Renata;Kosztowna
Helena;Hawrylejko
Gracjana;Swedrak
Zula;Chaciewicz
Drogos³awa;Bladocha
Iwa;Jaroziñski
Celina;£atacka
Domos³awa;Doberczuk
Laza;Sieczewski
Nina;Skatuszyñska
Ilza;Kozubowski
Honoryna;Wodomska
Gardenia;Gidelski
Eugenia;Kot³owski
Konradyna;Grilicz
Ewelina;Siewaœciej
Sêdzis³awa;Sawraza
Euzebia;Tombek
Orchidea;Opa³czek
Fabia;Jeremczykowski
Ma³gorzata;Marszurska
Maura;Kruszek
Karina;Rathman
Wis³awa;Wêdzyñski
Rados³awa;Heinmrot
Lukrecja;Matniak
Beatrice;Hollain
Gracja;Strohschneider
Serafina;P³yk
Alberta;Sus
Godzis³awa;Bedzwo³ek
Beata;Bêdzmirowski
Marcela;Ko³otko
Angelina;Czepczuk
Dezyderia;Ukryñczuk
Linda;Ga³dowski
Dziers³awa;Salawander
Emiliana;Ciurapa
Wrócis³awa;Maciot
Filomena;Mazasz
Leopoldyna;Dmytraszyn
Wierzchos³awa;Gronuœ
Wioletta;Weister
Pia;Szpajda
Ludwika;Pridaczin
Angelina;Orbaczewski
Ludomira;Melguj
Aspazja;Otów
Rozanna;Kamaszka
Erazma;Roœkowski
Estera;Rendlich
Kinga;Desella
Samuela;Remzerski
Czcibora;Probierz
Marietta;Speister
Witos³awa;Rosiles
Demetria;Lesny
Amadea;Mucharzewski
Angela;Górnioczek
Hanna;Dzieroniec
Eleonora;Stachorzewski
Ruta;£ado¿yñski
Klarysa;Feikus
Wiêcemi³a;Koniuchow
Toska;Obraca
Domis³awa;Brezen
Januaria;Lubasicka
Zenona;Fedosewicz
Ernestyna;Jêczmienniak
Sobies³awa;Mu¿yñski
Niegos³awa;Strycel
Dorota;Ganczarik
Stanis³awa;Wiejkuæ
Gaudencja;Wielgos
Weronika;Synk
Iwona;Jerger
Roberta;Rupieta
Celina;Urbañski vel Urbaniak
¯ywia;Wocalska
Leopolda;Bra¿ewicz
Mirabella;Gorzkoœ
Liwia;Bo¿ko
Felicyta;Kowalko
Wielis³awa;Fica³owicz
Flora;Nêdza
Mina;Me³gieœ
Beda;Niedbala
Warwara;Kudlarek
Martyna;Majchrzuk
Renata;Sztopka
Dalida;Pieszczochowicz
Adelajda;Jeremiak
Kamila;Maryjczuk
Œwiêtos³awa;Kazioród
Alojza;Giembicki
Raissa;Tlolka
Halka;Hozaniuk
Zenona;Magnatti
Strze¿ys³awa;Chartapowicz
Iryda;G¹browska
Angela;£aŸnicki
Krystyna;Pitkau
Ewdokia;Farmulicki
Bratumi³a;Ma³yñczak
Liliana;Warczacka
Teodozja;Haidysek
Rachela;Loegler
Janina;Podrykus
Marita;Gorzstila
Aga;Kulec
Lidia;Krwêtek
Teodora;£¹z
Roœcis³awa;Pawlejko
Apolonia;Olson
Aleksandra;Kiriluk
Zbigniewa;Danetz
Prakseda;Siwar
Ernesta;Ferenciuk
Beda;Burzan
Radzis³awa;Bernal
Felicjana;Sztomper
Adrianna;Cieloszyk
Kesja;Rochotko
Gracjana;Kramicz
Placydia;Gyda
Waldemara;Kaller
Samanta;£oncik
Weronika;Trzosowski
Hipolita;Gorcyl
Jagoda;Filoniowicz
Augusta;Gajch
Nadia;Kmiczek
Marcela;Piejak
Ma³gorzata;Ko³ach
Wilhelmina;Utiekieszew
Joanna;Matyczyñski
Ingrid;Hudzik
Roksana;Dykuñski
Dobrawa;Dokganiuk
Luba;Chor¹ski
Bogumi³a;Ciutosz
Flora;Krancber
Demetria;Kieczko
Drogos³awa;Szteborowski
Wanda;Nyll
Eugenia;Sarne
Amanda;Aberlich
Hortensja;Zdybiewski
Wiwanna;Wroczewski
Genowefa;Czychryj
Kaliksta;Brzanka
Wrzes³awa;Chwas³ek
Prakseda;Harê¿lak
Talita;Szczêœna
Filipina;Gorszkowski
Sara;Eichel
Józefa;Wiensch
Wiktoria;Piaduk
Ditta;Garowicz
Rajmunda;P³aneja
Liza;Nothdorf
Wiera;Jemiolek
Gracjana;Buzawa-Schoen
Kesja;Gottszalk
Gabriela;Atoniak
Filipina;Parisek
Marcelina;Dro¿d¿o³
S³awa;£awocka
Zdzis³awa;Soæko
Ma³gorzata;Mand¿ak
Raissa;Brêbowicz
Bratumi³a;Go³êbica
Ada;Dziendzierysta
Amadea;Wozniczek
Lilianna;Stuch³y
Juda;Okaliñski
Seweryna;Panfic
Bernardeta;Wojciuszko
Romualda;Herê¿y
Ciechos³awa;Nanaj³o
Lubomira;Perecuda
¯aklina;P³yga
Izyda;Lechmyc
Malwina;Acuk
Alojza;Smereczko
Leokadia;Dobroszkiewicz
Przybys³awa;Redlich
Dagmara;Paroska
Zdzis³awa;Kolbe
Boles³awa;Krasteli
Angela;S³obodzaniuk
Ariela;Gocinski
Martyna;Plechota
Zuzanna;Kordz
Marcela;Majczerek
Kazimiera;Wachañska
Benigna;Ma³aciñska
Dobrawa;Komprowski
Klaudyna;Andrysiak
Modesta;Jêdzura
Berna;Kie³czyñski
Jagoda;£opsz
Sieros³awa;Wertejuk
Serafina;Mebius
Sofia;Grimann
Bernadetta;Hliwski
S³awa;Nej
Ludwina;Szumaczuk
Wincenta;Potr¹c
Georgina;Leiss
Karina;Olchin
Józefina;Kamionka
Brygida;Kotogarow
Epifania;Chojênta
W³odzis³awa;Chuchrocka
Kamelia;Babiorz
Wincentyna;Karamucki
¯aklina;Œwierzowicz
Domicela;Laros
Lubomira;Wizenberg
Larysa;Poœpiszyl
Stronis³awa;Dojankowska
Diomada;Statujew
Wojs³awa;Cuchna
Greta;Krajanowski
¯egota;Manecki
Kunegunda;Brester
Henryka;Wa³acik
Dobromi³a;Dandalska
Eunika;Po³czyñski
Ada;Melaszek
Abigail;Lochmajer
Lidia;Tysiorkowski
Joachima;Stejnbor
Mironiega;Bieloc
Lamberta;Brukwitz
Jurata;Wardzejewski
Les³awa;Jermoliñski
Aneta;Nieclaw
Jarmi³a;Chocimko
Sonia;Szrubas
Niemira;Biotoszewski
Fabia;Fedusiw
Oliwia;Pyrzanowski
Tekla;Feduœ
Bryda;Winert
Dorota;Ka³¹tek
Leonia;Ornitowicz
Amiceta;Bajaczyk
Kleopatra;Twardon
Dawida;Szawcow
Niemira;Mru¿yñski
Weronika;Hornowski
Kosma;Siko³owski
Narcyza;Czagan
Ludwika;Dzyda
£ucja;Klammer
Leona;Zahia
Larysa;Buchaniewicz
Iwona;Wojuszyn
Kosma;Mazej
Ksawera;Knopek
Waleria;Chalebska
Daniela;Modurajska
Les³awa;Kurlus
Estera;Wally
Aspazja;Heydyk
Alma;Kuwa³ek
Domis³awa;Chniel
Jolanda;Kerkewicz
Czcibora;Glück
Patrycja;Hotlewski
Domas³awa;Artamanoff
Leopoldyna;Hellwing
Alicja;Lust
Zenobia;Stryjczak
Arleta;Ubramek
Emma;Preffer
Gustawa;Hadada
Radomi³a;Trochmowicz
Otylia;Witecha
Kwiryna;Sawluk
Aleksandra;Zmudziejewski
Janina;Karafiat
Alicja;Jacy³a
Nimfa;Salerowska
Serafina;Konoszewicz
Jagoda;Raszko
W³oœcis³awa;Namiêta
Sara;Rzok
El¿bieta;Pisaronek
Diomeda;£ojszyczyk
Imis³awa;Dadulak
Lubosza;Wachwachter
Leontyna;Doega
Edmunda;Miszograj
Sêdzis³awa;Gajdura
Siecies³awa;£adycki
Bazylissa;Jucewicz
Stronis³awa;Drupiewski
Cecylia;DŸwinel
Nadia;Ziebro
Lilla;Greniak
Benedykta;Pokrzyniak
Zora;Cyprynowski
Ksaweryna;Wiêksza
Sulis³awa;Ragalewicz
Michalina;Ko³k
Florentyna;Krzy¿ok
Potencjana;Stiskal
Bernadetta;Chanczyk
Modesta;Dziêgie³
Godzis³awa;Fiszek
Teofila;Staniusz
Boguchwa³a;Wiackiewicz
Wiola;Szwierkot
Larysa;Chmurzyñski
Klarysa;Kaffeman
Bernardeta;Cziompel
Estera;Szpernalowski
Zyta;Kulisa
Kwiryna;M³ynkiewicz
Rudolfina;Pyrchala
Maria Magdalena;Gudelawiczus
D¹brówka;Królikowski
Adria;Ciegowska
Alojza;Drzesga
Kolombina;Wyszoczarski
Liliana;Tymkow
Aniela;Daus
Wis³awa;Anpraszak
Albina;Bia³osukna
Gloria;Pa³cha
Lucylla;Kajdelewicz
Boñcza;Klopott
Laurencja;Rzekec
Lechos³awa;Stejnmagen
Jowita;Pacut
Berta;Fabjanek
Hermenegilda;Jajte
Wojs³awa;Hiejas
Augusta;Bettermen
Rudolfa;Czubatków
Maura;Goculenko
Erwina;Ga³eza
Jakobina;Kubiesa
Seweryna;Niewola-Staszkowski
Izolda;Malasiewicz
Ma³gorzata;Kubinek
Emma;Wolfstein
Judyta;Tychoñski
Sêdzis³awa;Likoœ
Maryla;Liberacki
Ludomi³a;Tartania
Lilla;Dziedziejka
Nikita;Skrabaczewski
Iwona;Pelowski
Irma;Uszy³o
Dionizja;Madeja
Lucyna;Pyszkiewicz
Karola;Celm
Aniceta;Rangotis
Œcibora;Flejszbank
Ingeborga;Gozdon
Modesta;Werembowska
Przybys³awa;Grzezu³ka
W³adys³awa;Sielacka
Wenesa;Syncyrek
Sandra;Papisiak
Amalia;Wojtaczuk
Bibianna;Kofrej
Paulina;Harapiñski
Zefiryna;Szataœny
Dalia;Stenborowski
Stella;Zajeczkowski
Pryscylla;Glonkowski
Cecylia;Migulski
Wanda;Kryzka
Paloma;Kublacka
Norberta;Pionkie
Zenobia;Bogatko
Bogna;Hopacz
Huberta;Szópiñski
Boles³awa;Karembska
Liliana;Czwik³a
Romualda;Gulid
Miranda;Grzyberz
Faustyna;Szatyn
Nonna;Derdu³a
Swiet³ana;Krzyszko
Greta;Lukonczykowa
Biruta;Chalcorz
Bogdana;Bard³o¿ek
Ilza;Kuzdak
Mina;P³aszcym¹ka
Urszula;Dynia
Anatolia;Karmaciuk
Alojza;Basiakiewicz
Stanis³awa;Wincdelboth
Jagoda;Szeradzki
Dina;Kempkowicz
Ludwina;Biœ³a
Hiacynta;Szczypakowska
Ilona;Kordziukiewicz
Bêdzis³awa;Ebelewicz
Diomeda;¯ebron
Gustawa;Posse
Milenia;Szliz
Eleonora;Simorda
Violetta;Fajgenman
Erazma;Zaleszczenko
Irina;Krutski
Barbara;Kuciejczyk
Leontyna;Bartuchowski
Rados³awa;Conssot
Fortunata;Juny
Ignacja;Ciechomski
Ruta;Porzyczek
Drogos³awa;Tamiñski
Alojza;Bierzko
Aleksandra;Ziewalska
Julietta;Stygarek
Wirginia;Tarnopolski
Zuzanna;Szaruñ
Pola;Klefas
Lena;Balcy
Erazma;Remski
Kazimiera;Gemmer
Teresa;Sibolecki
Kleopatra;B¹czynowska
Grzymis³awa;GruŸkewski
Aneta;Karnatowski
Mirabella;Stiepanczuk
Daniela;Stras
Sybilla;GieŸba
Oda;Mocik
Maryla;Otfinowicz
Biruta;Bartyñski
Iwetta;Dzingielewski
Orchidea;Gdunik
Rudolfina;Budziat
Ozanna;Wiwiatowska
Oliwia;Jewtiejew
Gracja;W¹œniewicz
Barbara;Gospodarzec
Antonina;Schink
Orchidea;Paulsen
Hermenia;Rudzeñski
Œwiêtos³awa;Wedlechowicz
Niemira;Basznica
Daria;Gawo³
Ró¿a;Czousz
W³oœcis³awa;Leœmiara
Stronis³awa;Ro¿enowicz
Aspazja;Baworowski
Nina;Siegfans
Felicja;Dziedziól
Diomeda;Wawot¿ny
Diomada;Nowoœwiet³owska
Berenike;Ozachowicz
Benigna;Pastudzka
Zygfryda;Ladman
Lolita;G³ady
Bryda;Poœpieszil
Albertyna;£yd
Anita;Kilig
Nonna;Kortianek
Ewelina;G³odo³a
Bartolomea;Pawliok
Gawry³a;S¹¿añska
Oriana;Skosy
Manuela;Tomalka
Rudolfina;£oszyñ
Loda;Szumliñski
¯anna;Kapon
Ignacja;Ogalska
Klotylda;Soppart
Ludomi³a;Zywiczka
Sabina;Wasowski
Tworzys³awa;Porz¹dna
Lamberta;Baecker
Bratumi³a;Pauczyszak
Euzebia;Leligdon
£ucja;Pateza
Nina;Stalerzuk
¯ywia;Puty³o
Cezaryna;Trêcz
Ludwina;Maœniak
Pêcis³awa;Andryssek
Bernardeta;Kirsonow
Wilhelmina;Sierszcz
Felicja;Bonom
Amelia;£ogasz
Afrodyta;Gurbalera
Prakseda;Korubka
Rozyna;Wendziwulski
Mœcis³awa;Kaspisz
Lilla;Zmatloch
W³adys³awa;Kuszkis
Albertyna;Reweñko
Erwina;Lepula
Tomira;Radzmierowska
Taida;Wiœnicz
Izabella;Bogolubow
Sydonia;Ijewski
Imis³awa;Templewicz
Wiktoria;Erbisch
Ilona;Wakrzyñski
Laura;Koczerbska
Hermina;Czosnowski
Les³awa;Stefniak
Greta;Torla
Cezaryna;Herra
Jewdocha;Lubra
Józefa;Koledowska
Kinga;Sterczek
Lechos³awa;Pietizak
Waleria;Konwiego
Sofia;Rejze
Faustyna;Loranty
Laza;Kot³an
Julita;Smeleñ
Halka;Guertler
Demetria;Herbanowska
Kaja;Wojciaszek
Konradyna;Bard
Romana;Kostuchow
Biruta;Gontorz
Gerarda;Daniszkowicz
Aniela;Czerweny
¯aklina;Madejok
Amanda;Czynulewska
Salome;Stajnik
Sawa;Wiêcina
Patrycja;Sedlag
¯aklina;Dwamena
Wszemi³a;I¿akowski
Petronia;Dzidzieñska
Ligia;Prywor
Eudoksja;G¹ska
Honoryna;Sklanko
Dajana;Koczerbska
Kazimiera;Karwowski
Zelmira;Wiz³a
Adria;Dornfeld
Modesta;Kutyñski
Ryszarda;Mamia
Hiacynta;Szpatowicz
Radomi³a;Peregudowski
Gaudencja;Flajszhaker
Konrada;Pod³aszczuk
Amiceta;Huszalak
Szarlota;Hiñczewski
Kosma;Dêcikiewicz
Zelmira;Pas³uszny
Weronika;Rosmatowski
Danuta;Panczkowski
Eliga;Harwowska
Adolfina;Szerol
Maria Magdalena;Sow³owiec
Marzanna;Szuka³
Berenike;Gmitowska
