Hygin;£¹szczyk
Czes³aw;Kawalkowski
Dacjan;Gardo
Cieszymir;Ganis
Wawrzyn;Usiaczyk
Chocies³aw;Bitter
Domarat;Graszyñski
Filemon;Kirkicki
Wszeb¹d;Bisch
Wadim;Pó³grabin
Florentyn;Grajzer
Borzys³aw;Pieniowski
Œwiatozar;Kohutmicka
Radogost;Ceysa
Adalbert;Œwietliczna
Bruno;Rêkosik
Cecyliusz;Felec
Pelagiusz;Janidka
Horacy;Birmañska
Konstans;Œpitzhofer
Zenon;Koprysa
Wolimir;Hary³ek
Borzywoj;Murzynoga
Achilles;Schueler
Dobiemir;Budka
Witalis;Pi³aœ
Agenor;Atremska
Boles³aw;Gembarowski
Ramon;Stunio
Onufry;Purszke
Lechos³aw;Szampanti
Olaf;Strzepkowski
Kiejstut;Benidyczak
Odo;Kitzler
Innocenty;Amilieszko
Odo;Golega
Domamir;Kiku³a
Liwiusz;Knyszek
Ninogniew;Niekroszewicz
Herkulan;Gizoñ
Ruben;Stomcel
Nieznamir;Dornatowska
Rafa³;Szu³arowska
Wies³aw;Döring
Bonifacy;Bereœciuk
Kazimierz;Korzynietz
Adalbert;Bemetkiewicz
Helmut;Hamulecki
Ewald;Iwanon
Faust;Bienerd
Myœlibor;Chamarniak
Bratumi³;Tryszkowska
Lew;Bromis
Maurycy;Reluk
Rajmund;Goculak
Kanizjusz;Borejza
Przec³aw;Osielski
Trzebimir;Marek-M³ot
Bertrand;Pu³anowska
Herkules;Szczybór
Sulibor;Benewenturski
Konstantyn;Szêœniak
Spycimir;Kurienda
Jarogniew;Kleidienst
Stojgniew;Okwart
Bazyli;K¹œ
Przybygniew;Gollis
Jaros³aw;Paryjewska
Ireneusz;Rucks
Mi³osz;Sztuñ
Zdzibor;Sniarowski
Celestyn;Badzelewski
Têgomir;Bera³
Charyzjusz;Prejdak
Cecyl;Tytarczuk
Cecylian;W³odzisz
Otomar;Str¹ka
Ders³aw;Szleng
Zdzibor;Suliburski
Medard;Cho³ojczyk
Bo¿ebor;Lepianka
B³a¿ej;Schalasta
Edward;Ta³ubiñski
Abercjusz;Mitar
Zenobiusz;Berwerc
Ziemis³aw;Kobiatko
Leopard;Tukarz
Faustyn;Grabiosz
Marcjal;¯ygad³owicz
Denis;Pazo³a
Pantaleon;Siendzielorz
Goliat;PyŸlak
Arkady;Takusz
Zenon;£abenc
Lubor;Niemielska
Wiktorian;Pitrasiewicz
Czes³aw;Pota¿
Burchard;Poniebie³ko
Przedbor;Muszczyszyn
Broniwoj;Mesynga
Demetriusz;Koraszyk
Mariusz;Wiaczowska
£êkomir;Do³hopo³owa
Œwiêtobor;Wêsek
S¹dos³aw;Heingebarth
Zygfryd;Komaradzki
Ildefons;Iwak
Kalistrat;Visentini
Czêstomir;Tarczyn
Nieznamir;Wasiwicz
Aurelian;Trzesionok
Czesemir;Czyhura
Wojs³aw;Petryœ
Wodzis³aw;Pieprzna
Klaudian;Gainowska
Sewer;Och³ocka
Epifan;Kozbel
Dobiemir;Störmer
Trzebimir;Villa
Szymon;Trakula
Fidelis;Antonikiewicz
Felicysym;Taranczuk
Ewelin;Buschke
Godzisz;Skwark
Kasper;Kuberko
Iwon;£abuda
Danisz;Hahy³a
Korneli;Mowczyn
Brykcjusz;Baszyczyñska
Amedeusz;Wittenberg
Delfin;Inbierowicz
Ambro¿y;Obecny
Radzimir;Sztoka³ko
Tyberiusz;Materne
Ado;Mitczak
Marian;Genstenberger
Priam;Siebier
Chryzostom;Wisiorska
Zdzis³aw;Rachlewicz
Ulrych;Swonkowski
Lucjol;Czyszukiewicz
Danisz;Cho³oñska
Mœcis³aw;Orocz
Artur;Puzdrawska
Gabriel;Herchold
Albin;Gocloñ
Hermes;Grauholc
Rajmund;Muszañski
Lechos³aw;Pêdras
Oswald;Rade³ko
Wiêcerad;G³¹bikowski
Lutomir;B³udzien
Spycigniew;Sowin
Drogomi³;Dendesz
Janis³aw;Kop³os
Jaromir;Dudzimska
¯ytomir;Peleksy
Krystian;Wirowski
Konradyn;Partycki
Teobald;Lawrenz
Dobrogost;Brzezia
Andrzej;Wa³êga
Lubos³aw;Koszkowiak
Eugeniusz;Ofiarkiewicz
Torpet;Palmerski
Edmund;Krempaszanka
Tristan;Stelko
Stojgniew;Zawadija
Benon;Berszling
Dobrowit;Cinkiel
Jacek;Zeneld
Pankracy;Cajdlic
Kasjan;Kopersztajn
Œcibor;Fuitowska
Apollo;Waczkow
Wolimir;Czek
Arseniusz;Kolosz
Cezary;Dopciuch
Rupert;Karukula
Przemys³;Wisiu³kiewicz
Ruben;Grandaj
Kazimierz;Smeczyñska
Judasz;Hryniowicki
Eustachiusz;Pacuszyñski
Rut;Bertkus
Klemens;Ceplarek
Alojzy;Zebrzecka
Maurycy;Chlipiñska
Przybymir;Inkendyker
Liwiusz;Misztura
Iwon;Forusinski
Tymon;Kakas
Ildefons;Szuj
W³adymir;Balazia
Dragomir;Dêczyk
Egon;Preisentanz
Kiry³;Pancikiewicz
Apollo;Kremiñski
Rut;Simbierowicz
Denis;Garderewicz
Salwator;Werowicz
Arystarch;Ziêdalski
Myœlibor;Szwieda
Eryk;Remion
Magnus;Stêgierski
Albaniusz;Budrowski
Dzier¿ykraj;Siurdyk
Toligniew;Kraœnienko
W³oœcis³aw;Matyska
Hugo;Wratny
Grzymis³aw;Bissmann
Ursyn;Benczalski
Kalistrat;Hondzyñski
Chociemir;Fietkun
Sulimir;Budczak
Prosper;Streibel
Albrecht;Pêdzikowski
Lech;Ba³añska
Sykstus;B³aszcyk
Zdziwoj;Pipiela
Rodryg;Krzyzostaniak
Eryk;Fetliñski
Wyszes³aw;Nasadiuk
Czcis³aw;Pyznarski
Edmund;Zbiegini
Karp;Ciamciak
W³odziwoj;Sobieszczyk
Ferdynand;Krotochmila
Mamert;Ter
Kamil;Melcarek
Prosimir;Danner
Przedbor;Liphardt
Arkady;Wzietoszczak
Budziwoj;Kraemer
Ksenofont;Szwajdych
Godzisz;Knieñ
Wszerad;Kl¹czar
Jac³aw;Andruszczuk
Jakub;Poko
Przec³aw;Nierubiec
Ursyn;Szalec
Odo;Pródniak
Emiliusz;Kónikowski
Apoloniusz;Celenik
Danisz;Bryko
Klaus;Dretar
Rufus;Skleczyñska
Teodor;Bierestow
Demokryt;Stolski
Goœcis³aw;Chludzyñska
Trzebimir;Siemlak
Henryk;Miet³a
Mamert;Brostowski
Epifaniusz;Nicos
Wenancjusz;Bud¿yñski
Horacjusz;Osieleniec
Ireneusz;Londal
Symplicjusz;Scharley
Bo¿eciech;Piesztrzyñska
Dalemir;Hartenberger
Bean;Symowoniuk
Kordian;Broszencki
Trzebowit;Giedka
Tolimir;Grobska
Artur;Matyiñski
Rudolf;Konderek
Teofil;Niechwiadowicz
Miron;Kifiak
Œwiêcimir;Dziêglenicz
Bo¿ywoj;Maniæ
Hadrian;B³achult
Erhard;Djaczko
Trzebomys³;Kosmela
Joel;Stobbe
Godzimir;Zardzawiecki
Ronald;Bernadynys
Bazyliusz;Kulinicz
Budziwoj;Onzienkiewicz
Adolf;Byrdzik
Kanty;Fabieniak
Dacjan;G¹d
Radek;Steliñski
£êkomir;Paru¿ak
Lucjusz;Luckow
Tyberiusz;Durbesson
Idzi;Bierut
W³adys³aw;Midzek
Hermes;Po¿dziak
Nadbor;Mas³o
Wirginiusz;Matu³aw
Leander;Dulbos
Kurt;Gembia³
Jac³aw;Mujwid
Witalis;Kuchtin
Tomi³;Dreinol
Radomir;G³achtiejew
Lutos³aw;Zoma
Siestrzewit;Czurlow
Rufin;Radulak
Odo;Fridmanas
Anicet;Siebko
Nawoj;Góroñ
Chwalibóg;Szlinger
Witalian;Sereniuk
£ucjusz;Bernillon
Adaukt;Kupacki
Maciej;Wermiejewicz
Pelagiusz;Felesz
Eugeniusz;Rohrmoser
Eryk;Rudzeñski
Gniewomir;Boczyj
Onufry;Herwig
Ireneusz;Maczyk
Przemys³aw;Rozmus
Bazylis;Peczarski
Antoni;Rugie³
Klemens;Mietz
Burchard;Sudomirski
Domas³aw;Hanelt
Sêdziwoj;Schiman
Bronimir;Kuzakowski
Arseniusz;Fasiak
Radzimir;Jozefacki
Juliusz;Œwiebuda
Kalasanty;Drochobylski
Lubor;Sepiatowska
Anastazy;£onon
Krystian;Sypecki
Ruprecht;Skupa
Bo¿ydar;Putnia
Wyszomir;Czadowski
Ewelin;Krzionsek
Joachim;Roskiewicz
Eutropiusz;Zobielska
Mœciwój;Zieleñczyk
Filemon;Graberska
Ubys³aw;Solonek
Witold;Szpicki
Renat;Bojdaz
Bernardyn;Pierczak
Mieczys³aw;Panieluk
Eryk;Polniuk
Gwalbert;Smrkowski
Judasz;Makrewicz
Budzis³aw;Mamiœ
Kasjan;Guziorski
Iwo;Gelgut
Kurt;Holicz
Lewin;Kalawa
Oktawiusz;Reschkowska
Dobiegniew;Kiernal
Cieszybor;Kostrach
Efrem;Mandziejewski
Martynin;Szylga
Harasym;Wontor
Mi³orad;Koszna
Drogomir;Kopzyñski
Mansfet;WoŸniak
Wawrzyniec;Kryczuk
Alfred;Wojnas
Sulimir;Maæka³a
Sulis³aw;Byczkow
W³adymir;Kaszubkiewicz
Pakosz³aw;Ko³ogriñska
Dobrowój;Riegert
Ewelin;Szemiela
Amin;Synkler
Pakosz³aw;MoŸdziñski
Jêdrzej;Chêdoski
Hadrian;Trzcia³kowski
Tezeusz;Kitlik
Festus;Lapociñska
Bogusz;Turgalska
Balbin;Talipski
Werner;Skajkowska
Mœciwój;Groszczyk
Agatonik;Kucyga
Czcibor;Woniak
Bogumi³;Sawaœko
Jan Nepomucen;Suszewicz
Alan;Miêchowiecka
Faust;Charendziuk
Goœcimi³;Cypser
Alojzy;Stryna
Ewaryst;Cesar
Alojzy;Szkrabko
Filip;Perlic
Dobrowój;Beli
Czcirad;Bludów
Elizeusz;Selecki
Delfin;Koczyñski
Pius;Dobelke
Metody;Miktuœ
Nehemiasz;Telechan
Wadim;Lanrych
Kryspin;¯y³ycz
Serafin;Alfiñski
Agenor;Twardok
Saturnin;Szamszuk
Bertold;Zakowny
Igor;Miscicka
Gaspar;Krystyniuk
Patryk;Wacko
Julian;Hubœ
Mirogniew;D¹pczyñska
Lutogniew;Krypiel
Przybys³aw;Dalidczyk
Romuald;Kulchawa
Albaniusz;Bar³ug
Ewald;Mansfeld
Miko³aj;Grochowski
Feliks;Usarzewski
Zbis³aw;Wiechan
Przedpe³k;Obryk
Samson;Tucki
Nehemiasz;Strada³
Zbigniew;G³aczek
Grzymis³aw;Broækowska
Kornel;Polendnik
Erwin;Ungehajer
Gniewosz;Fajdel
Siestrzemi³;Piwkowicz
Daniel;Giendaszewska
Jac³aw;Zagrodniczek
Wadim;Briese
Domarat;Frent
Ewaryst;Wizalewicz
Uniemys³;Sto³ecki
Zbroimir;Kululski
Rufin;Gruszlik
Odo;Daragasz
Radzis³aw;Skor¿yñski
Franciszek Salezy;Timoszczenko
Œwiêtomir;Korniów
Oktawiusz;Meœciur
Rudolf;Fornajczyk
Saul;Kraczyszyn
Hadrian;Frojak
Walter;Sobiczewski
Roch;Proniczew
Duszan;Ojejniczak
Cyriak;Podzus
Godfryd;Chydzyñski
Kanut;Ubysz Piasecki
Stronis³aw;Freindorf
Ewelin;Durdeñ
Niecis³aw;Benedick
Judasz;Napolski
Ksenofont;Harmermik
Strze¿ymir;Dzedryk
Wszemi³;Krasakiewicz
Bogus³aw;Puszk
Felicysym;Barbecka
Dobrowiest;Bronszkiewicz
Machabeusz;Gr¹glewski
Mieczys³aw;Ger³ych
Herman;Pierosz
Zbigniew;Matymia
Ciechomir;Darjanicz
Twardos³aw;Zamorenko
Waleriusz;Igie³
Sabin;Barun
Lucjusz;Cêcek
Tytus;G¹borowski
Erhard;Wabnica
Sambor;Szlufiñski
Eulogiusz;Piotrasik
Maciej;Majdziuk
Aureli;Szambara
Gebhard;Repnicki
Moj¿esz;O³oszczyñski
Bratumi³;Mattna
Krystian;Kwieciniewski
Dobros³aw;Glagiszewska
Burchard;Merena
Amos;Poetschke
Patrycy;Cwecher
Domas³aw;Kapanusch
Prosper;¯ygalski
£adys³aw;Ralirad
Egbert;Drijas
Wszeciech;Chatliñski
Lutos³aw;Satternus
Trzebis³aw;Muzykant
Leszek;Szuszel
Wszebor;Sadroñczyk
Pakosz³aw;Serwotka
Albert;Achremenko
Antoni;Duœlak
Dziers³aw;Petterz
Pafnucy;Blachicka
Bernardyn;Heydamek
Alpinian;Bes
January;Gwardzewska
Metody;Bilmon
Kir;S³oneczna
Krzesimir;Kupry³o
Ludomir;Mi³oszewicz
Radzim;Gereitzik
Gabin;Rajdaszka
Szymon;Romelczyk
Leon;Stuhldreer
Hieronim;S³óka
Grzegorz;Fió³
Damazy;Dyjek
Jacek;Hotkiewicz
Antym;Chwesewicz
S³awobor;Brona
Maurycy;Moskowicz
Wojmir;Necelewicz
Józefat;Pajchert
Dalebor;Jasiurkiewicz
Drogomys³;Brzeszczyk
Chocies³aw;Adamcik
Pankracy;Rumiancew
Bernard;Poddêbicka
Spycis³aw;Czifrik
Borzys³aw;Paduchowicz
Alban;Bialoskowski
August;Jerzychowski
Alban;Wydrychowicz
Matron;Handrysz
Sobies¹d;Lusczymak
Hilary;Ulczek
Zorian;Florek
Unis³aw;Stryjków
Auksencjusz;Duczkowski
Krzysztof;Sa³amonik
Bo¿ymierz;Szarynger
Chryzant;Brz¹dek
Wrócis³aw;Lubianiec
Uniegost;Etruk
Fidelis;Dajlid
Spirydion;Ka³amarz
Grzymis³aw;Mas³aj
Zbis³aw;Trpi³owski
Achacy;Rancia
Cieszybor;Werenik
Witalis;Sprecel
Jeremi;Zgryza
Aleksander;Dzuba³towski
Maksymin;Sztotgryn
Izaak;Bogdulska
Asenat;Pasiewicz
Zachariasz;Schwonke
Hubert;Ungcheuer
Damaris;Czapowiecki
Sieros³aw;Ciegler
Boromeusz;Siodmiak
Werner;Amska
Leonidas;Gestwa
Barabasz;Plu¿yczka
Mœcis³aw;Hartabuz
Korneli;Gutenszwagier
Ninomys³;B³awuk
Bertrand;Zyderman
Innocenty;Galun
Oktawiusz;Skrzyd³owski
Gorzys³aw;Skwirzyñski
Machabeusz;Madejkis
Domawit;Kielerz
Jazon;Simjak
Stronis³aw;Farkas
Bertrand;Sztanowski
Tadeusz;Czu³akow
Festus;Namiotek
Malkolm;Szymanelis
Stanis³aw;Szajstak
Niecis³aw;Wojter
Nieznamir;Baczuñ
Bo¿eciech;Mondlewska
Natalis;Pabrus
Damian;Hanys
Czech;Wolok
Wieñczys³aw;Bobasz
August;Ajdadyñski
Floryn;Chejmowska
Spycis³aw;Towstolak
Benon;Kromplas
Ewelin;Beroœ
Józefat;Pupar
Frydolin;Cerañ
Libert;Nawka
Celestyn;Ladczyszyn
Onufry;Mu¿yczka
Lenart;Didyszko
Cecyl;Falsner
Tycjan;Jendor
Priam;Blonchel
Domamir;Radzki
Sylwery;Sztmanowska
Delfin;Dessall
Rupert;Berketa
Uniewit;Moskiewicz
Otomar;Maciuszonek
Ninomys³;Krajewit
Laurenty;Szegiedyn
Pantaleon;Holman
Patrycy;Bakslerowicz
Pankracy;Szachog³uchowicz
Konstancjusz;Ho³oñski
Gabor;Har³ap
Patrycy;Zyngier
Uniemys³;Burzka
Laurenty;Pa³kus
Mœcigniew;K³uskiewicz
S³awosz;Hunikowski
Fortunat;Dasiuk
Walentyn;Cityñska
Ariel;Œwi¹tnik
Probus;Fiebelkorn
Lutos³aw;Flirtak
Lubos³aw;Dorat
Bogumir;Maciepa
Tacjusz;Dudach
Toligniew;Wiedal
Walentyn;Gnidec
Hipolit;Dubaj
Dobiegniew;Z³otorawski
Jerzy;Rêkwardt
Wies³aw;Cebuchowski
Wito³d;£agodka
S³awosz;Romelczyk
Radogost;Pastucza
Dobrowit;Oborel
Wiktor;Prima
Kalistrat;Twarcz
Agapit;Werkiewska
Klaudian;Cieluszak
Józefat;Frischkemuth
Kalasanty;Weszpiñski
Symeon;Kaszczewski
Rudolf;R¹mpel
Miron;Konobrudzka
Dobiemiest;Pytys
Bjorn;Moskalek
Honorat;Blauza
Tomir;Czajewicz
Noemi;Draszpul
Szczepan;Sobieryñ
Niezamys³;Twaroñ
Trzebimir;Dziemaszkiewicz
Nieznamir;Bromborz
Kajus;Kontoftt
Dymitriusz;Golasz
Wiêcerad;Dziembak
Kiejstut;Wawraniuk
Bazyl;Trajnarowicz
Wirgiliusz;Krautfurst
Uniewit;Jarocz
Chwalimir;Razminowicz
Sylweriusz;Kapryjaniuk
Dorian;£apóæ
Priam;Szopiñski
Eustachiusz;Kiefer
Wiktoriusz;Bruja
Œwiêtobor;Medygra³
Nestor;Drzyzgu³a
Leon;Nenza
Wyszes³aw;Franiarz
Ariel;Wiezemborg
Sylwery;Na¿ewnik
Myœlibor;Meronke
Kiejstut;Butryn
Oktawian;Barkagan
Rygobert;Suchanecki
Wiêces³aw;Konzorski
Damian;W³osowicz
Tyburcjusz;Szafirsztejn
Bernard;Bartod
Bo¿eciech;Ertmann
Chryzostom;Franko
Baltazar;Golek
Angel;Floryañski
Czcibor;GuŸlak
Godfryd;Maziuga
Hugo;Baluñ
Ludos³aw;Bêbeñski
Przedwoj;Dusinkiewicz
Sulimir;Polecik
Krzesis³aw;Gorboñ
Œwiêcimir;Moskalewski
Mi³owan;Erenfried
Zdzibor;Hrach
Bernard;Bia³osuknia
Maksym;Dywojna
Lubor;Muchalek
Ulrych;Ma³ow
Twardos³aw;Plitt
Parys;Stobienia
Dalebor;Dzienisch
Siemirad;Gniadziñska
Krzysztof;Kapol
Leon;Warysiak
Laurentyn;Kneif
Hortensjusz;Rajczewa
Rupert;Humeny
Liwiusz;Dziemianowicz
Hygin;Bo¿êtka
Longin;Górgoñ
Myœlibor;Trykozo
Dymitriusz;Kencerski
Przybymir;Orator
Mieczys³aw;Radasiewicz
Wawrzyn;Skorban
Walery;Fundalej
Artur;Erlach
Bertrand;Pó¿niakowska
Marceli;S¹dziak
Fidelis;Praœnicka
Czes³aw;Bzioch
Imis³aw;Sandzewicz
Przybys³aw;Obracka
Herkules;Kuzyka
Imis³aw;Gr¹dek
Remigiusz;Polk
Danisz;Minksztejn
Lambert;Hadziewicz
Florentyn;Westermark
Dezydery;Cajnóg
Adrian;Paderewski
Malwin;Czuprynka
Goœcirad;Mogilañski
German;Telega
Benedykt;Kobyluszczyk
Dziers³aw;¯o³nicki
Domicjan;Cieœmielewski
Jurand;Szali³ów
Nelly;Mastylarek
Harasym;Chociejczak
Zbroimir;Orysik
Wendelin;Ozdobiñski
Sobies³aw;Mêdrzechowski
Artus;Spychawska
Sulpicjusz;Wojciszak
Salwin;Fajchman
Noe;Dizendorf
Goar;Kulisowska
Tworzys³aw;Kadet
Teobald;W¹tarczyk
Jacenty;Amieljanowicz
Goœcimir;Zyhaluk
Amin;Tadyniewicz
Achacjusz;Jeniak
Emiliusz;Iwaniewicz
Ludomi³;Kracjarz
Unimir;Minaj³³o
Rafa³;Bailner
Nahum;Skopiec
Andron;Jargo³a
Burchard;G¹sienica-Bystrzan
W³oœcibor;Gontowiuk
Witomys³;Szambier
Gajusz;Siebenhaar
Bogusz;Bramborski
Dymitr;Józefacik
Bean;Sentak
Fabian;B¹chniak
Sulibor;Ajding
Bogudar;Sonek
Edgar;Nietrzebek
Absalon;MoroŸkowski
Gorzys³aw;Ryczakowicz
Wiktoriusz;Szmigrocki
Nadbor;Kolbara
Ferdynand;£uszczeñska
Patrycy;Kowic
Przemys³;Brezewicz
Wiêcemir;Swirkowicz
Bolemys³;Donder
Bronisz;StaroŸcik
Otomar;Kornblit
Tomis³aw;Hudaœ
Kalasanty;Flajszman
Rufus;Garecki
Ezdrasz;G³odewicz
Blandyn;Jarmuzek
Gerhard;Karunos
Pêkos³aw;Klekot
Stojmir;Lanske
Dytrych;Chajowski
Karolin;Czuprymak
W³odzimierz;Dretkowska
Witomir;Alker
Robert;Kuzio³
Cieszys³aw;Wieszczoczyñski
Izydor;Sumera
Ciechomir;Pap³a
Dobiemir;Manninen
Odyseusz;Klementjew
Idzi;Buk³ako
Oktawiusz;Chordecki
Wenancjusz;Ksie¿yc
Dobrymir;Horbatowicz
Bogus¹d;Biegelmeier
Ziemowit;Pullner
Chwalis³aw;Furche
Zenon;G³uchanek
Napoleon;Skotarski
Stojgniew;Kostorkiewicz
Zorian;Foderkiewicz
Donat;KoŸlacz
Odil;Gosowski
Wielis³aw;Fertan
Bêdzis³aw;Jab³añska
Medard;Bychold
Bertrand;Datraszewska
Szczepan;Kusper
Wrócimir;£omacz
Mieczys³aw;Ciela¿ewicz
Miromir;Jurachno
Trzebimir;Konigowski
Dobrogniew;Ratajczak
Cieszygor;Janowski
Ewelin;Awirzeñ
Wawrzyniec;Walke
Heliasz;Chrabok
Jordan;Karpaka
Bartosz;Krzystko
Kandyd;Satrapa
Barabasz;Ulczyc
Dobiegniew;Siuciak
Wszerad;Stempolowska
Rodryk;Najbebauer
Dobromys³;Lassin
Bogumir;Grzeszczkowska
Beatus;Pieskot
Ninomys³;Szormak
Sebastian;Mojnowski
Ders³aw;O³adko
Niezamys³;Kanetke
Andonik;Kapestyñska
Cyprian;Gabler
Lubomir;Sowecki
Wies³aw;Wosielczyk
Klementyn;Hulkiewicz
Trzebomys³;Kobe
W³odzimir;Siarmacka
Unis³aw;Nykoluk
Engelbert;¯yto
Florenty;Skaœkowska
Cecyl;Je¿ychowski
Wies³aw;Nowgórski
Chwalibóg;Kosañ
Zdziwoj;Wo³kowycki
Faust;Moldenhawer
Myœlimir;Kwok
Goœciwit;Girsztoft
Pudens;Aniol
Gajusz;Kubasiowski
Przedpe³k;Szakalski
Benedykt;Magierki
Beatryks;Darywalski
Engelbert;Owoc
Florenty;Mierzlikin
Sulimierz;Haselmajer
Noemi;Jêdrejec
Dzier¿ymir;¯erak
Tyburcjusz;Marwicz
Dobrociech;Manurzak
Iwo;Groncik
Sebastian;Œnioch
Brodzis³aw;Turocha
Szczêsny;Giette
Arystarch;Golat
Wiktoriusz;Charber
S³awosz;Urbanajæ
Niemir;Powro¿ny
Sozant;Rygal
RenÃƒÂ©;Kibak
Dzier¿ymir;Steñkowski
Aleksy;Kitela
Taras;Cieplinski
Walery;Szuszlik
Bazyli;Honesti
Cieszys³aw;Krywiczanin
Kalistrat;¯yffert
Œwiatozar;Bazewicz
Dobrociech;Gaspirowicz
Niemir;Kowier¿niew
Roderyk;Leke
Artur;Hofman-Delbor
Bean;Grzebyta
Agaton;Tapowicz
Waleriusz;Nieczporek
Mi³owit;Kocofruk
Walenty;Nejdera
Wojbor;Chech
S¹dos³aw;Krêtowski
B³a¿ej;Szlenda
S³awoj;Hodusiñska
Ildefons;Matel
Spirydion;Makson
Goœciwit;Hanclich
Burchard;Filatiew
Skarbimierz;Getling
Uniemys³;Nowoœwiat³owski
Domicjan;Piluœ
Boleczest;Kowandy
Ariel;Denys
Jakub;Kojzar
Ders³aw;Sawaœciejew
Sulis³aw;Kiljas
Burchard;Flosz
Medard;Rozerska
Ubald;Osendowski
Sieros³aw;Zamgla³y
Korneli;Heppel
Zbyszko;Belbort
Pantaleon;Mogilañski
Zdzimir;Orymkowski
Konstantyn;Kubieniak
Czêstogniew;Szkarawski
Medard;Tetara
Cyprian;Ba³oŸ
Spirydion;Po³onczyk
Bertrand;Pawowski
Radowit;Miko³ajków
Bazylid;Gegg
Konstantyn;Kieszyk
January;Szposny
Abdon;Nechajewicz
Stronis³aw;Kleszcz
Lewin;Barenko
Maksym;Siemik
Wirginiusz;Sztuflik
Melchior;Matysek
Walentyn;Kosiadowska
Radomir;Sokalnicki
Priam;Wojmar
Antym;Oberhard
Wierzchos³aw;Labhart
W³adymir;Bedkowski
Kalikst;Saraczeñ
Parys;Gaudyak
Leonidas;Onoprienko
Sykstus;Werkowski
Jarope³k;Golendzinowski
Epifani;Rebeta
Andrzej;Gieglecki
Wojbor;Blecharz
Konstans;Ziemialis
Cecylian;Wachnachter
Leoncjusz;Gamul
Longin;Tobo³a
Cieszymir;Ko³odzin
Radomir;Hekalik
Bjorn;Missa³a
Iwan;Kielbach
Wielis³aw;Szteleja
Sofroniusz;Baducki
Marcjan;Gienczelewski
Wyszomir;Palen
Krystian;Nau¿yñska
Przybyczest;G³ódkowski
Machabeusz;Dajneko
Arystarch;Siajak
Angelus;Przes³acka
Eutropiusz;Wieczorke
Iwo;Mi¿ak
Ninomys³;Kierman
Dzier¿ykraj;Chyplewicz
Skarbimierz;Harasiak
Lewin;Go³ugowska
Herakliusz;Fanc
Bogudar;Frojañczyk
Manfred;Szandorska
Ziemowit;Smuc
Laurencjusz;Czwela
Lilian;Tusin
Zacheusz;Savidis
German;Zapkowicz
W³oœcis³aw;Ho³dys
Eberhard;Bannert
Budzimir;Graf
Nieznamir;Kioziñska
Makary;Koszeradzka
Sylwan;Natter
Œwiêtope³k;Potrubacz
Wszegniew;Glensik
Bazyli;Nytra
Niemir;Szykszenia
Bogumir;Koszczewski
Amedeusz;Cebra³
Waleriusz;Manaches
Toligniew;K³ysko
Moj¿esz;Œwiêcki
Feliks;Przezorski
Drogomys³;Mertowski
Jeron;Pasielko
Klaudiusz;Sundora
Borys;Zgyrska
Eulogiusz;Sci³owicz
¯yros³aw;Domasat
Honorat;Koronc
£ucjan;£anowy
Chwalis³aw;Ninkiewicz
Eulogiusz;Sadowiczyk
Broniwoj;Czepielik
¯elis³aw;Kiesell
Kajetan;Karsson
Eliasz;Kulessa
Kanizjusz;Spadarzewski
Absalon;Atoszewska
Domarat;Zuzalek
Wiktoriusz;Slosek
Kornel;Drzyzla
Herbert;Zakarczemna
Dymitr;Odoj
Witomys³;Strzelak
Wenancjusz;Marionowska
Petroniusz;Bolsega
Roman;Gabin
Stanimir;£ajczok
Floryn;Pleœniarz
Tomis³aw;Ziebroñ
Albert;Bonfig
Sylwiusz;¯ulo
Chwalibóg;Pra¿niowski
Blandyn;Brzyñczyk
Edgar;Saniternik
Ronald;Micha³czak
Charyzjusz;Osóbka
Suliwoj;M³ynarkiewicz
Œwiêtope³k;Myrga
Krzesis³aw;Burschyk
Faustyn;Pauscheck
Job;Friebus
Niegomir;Stelpe
Witomi³;Hohó³
Walentyn;Ikielak
Renat;Nalinowski
Adrian;Lonowski
Dariusz;Jaschke
Manfred;Judasiak
Mi³osz;Dêkowski
Odil;Szerelis
Rupert;Nerenberg
Damaris;Czyrt
Gabriel;Sayed
Medard;Gonszczak
W³odzis³aw;Tokœcik
Noe;Ty¿bierek
Oktawian;Manzelewski
Kandyd;Kuberczyk
Dobrogniew;O³uba
Mi³owan;Rischka
Racis³aw;Fortalski
Strze¿ys³aw;Biczysko
Jonasz;Gonczerewicz
Ernestyn;Biebiela
Amos;Jêkot
Gaudencjusz;Wolnak
Teodozjusz;Piszczelski
Spirydion;Sotniczenko
Kalasanty;Pokorzeñska
Fides;Penda³a
Roœcigniew;Ornañczyk
Beatus;Gdolewicz
Brodzis³aw;Mesjasz
Dytrych;Œlêdak
Cierpis³aw;Sinia
Ulryk;Go³owko
Alan;Dyniszkiewicz
Job;Bijerman
Bo¿ymierz;Faf¹ra
Oktawian;Waku³
Budzimir;Dibak
Bazyli;Chalbert
Doris;Bogus³awski vel Dobros³a
Oliwier;Ptaszek vel £abêdŸ
Bernard;Dziewaczyñski
Domarat;Zardkiewicz
Roland;Sztekel
Winicjusz;Chrz¹sz
Faustyn;Jastrzembski
Bolemys³;Szaryj
Niemir;Psiak
Radogost;Jaslar
Ksawery;Superczyñski
Dobies³aw;Maciejczyk
Kurt;Maksymek
Zdobys³aw;Sieprzutowska
Dalebor;Ha³amaj
Uniewit;Carapiejew
Przybyrad;Gergmann
Narcyz;Czykarow
Wyszes³aw;Swibrutowicz
Benon;Gudojc
